"route_uid","route_id","has_sub_routes","operator_id","operator_name_zh","operator_name_en","authority_id","provider_id","sub_route_uid","sub_route_id","sub_route_name_zh","sub_route_name_en","headsign","headsign_en","direction","first_bus_time","last_bus_time","holiday_first_bus_time","holiday_last_bus_time","bus_route_type","route_name_zh","route_name_en","departure_stop_name_zh","departure_stop_name_en","destination_stop_name_zh","destination_stop_name_en","ticket_price_description_zh","ticket_price_description_en","fare_buffer_zone_description_zh","fare_buffer_zone_description_en","route_map_image_url","city","city_code","SrcUpdateTime","UpdateTime","InfoTime","InfoDate"
KHH8511,"8511",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8511,"8511",紅51B,Red51B,臺鐵新左營站－捷運生態園區站,,0,,,,,11,紅51B,Red51B,台鐵新左營站,TRA New Zuoying Station,捷運生態園區站,MRT Ecological District Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8511,"8511",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8511,"8511",紅51B,Red51B,臺鐵新左營站－捷運生態園區站,,1,,,,,11,紅51B,Red51B,台鐵新左營站,TRA New Zuoying Station,捷運生態園區站,MRT Ecological District Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH852,"852",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH852,"852",紅52(原 E05),Red52,臺鐵新左營站－中山大學,,0,,,,,11,紅52(原 E05),Red52,台鐵新左營站,New Zuoying Station,中山大學,Sun Yat-sen University,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH852,"852",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH852,"852",紅52(原 E05),Red52,臺鐵新左營站－中山大學,,1,,,,,11,紅52(原 E05),Red52,台鐵新左營站,New Zuoying Station,中山大學,Sun Yat-sen University,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8531,"8531",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8531,"8531",紅53梓官幹線-主,Red53A,臺鐵新左營站－蚵仔寮漁港,,0,,,,,11,紅53梓官幹線-主,Red53A,台鐵新左營站,TRA New Zuoying Station,蚵仔寮漁港,Kezailiao Fishing Port,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8531,"8531",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8531,"8531",紅53梓官幹線-主,Red53A,臺鐵新左營站－蚵仔寮漁港,,1,,,,,11,紅53梓官幹線-主,Red53A,台鐵新左營站,TRA New Zuoying Station,蚵仔寮漁港,Kezailiao Fishing Port,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8532,"8532",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8532,"8532",紅53梓官幹線-區間(原 紅55),Red53(Interval),臺鐵新左營站－援中國小,,0,,,,,11,紅53梓官幹線-區間(原 紅55),Red53(Interval),台鐵新左營站,TRA New Zuoying Station,中興里(楠梓),Jhongsing Village Community Center(Nanzih),,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8532,"8532",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8532,"8532",紅53梓官幹線-區間(原 紅55),Red53(Interval),臺鐵新左營站－援中國小,,1,,,,,11,紅53梓官幹線-區間(原 紅55),Red53(Interval),台鐵新左營站,TRA New Zuoying Station,中興里(楠梓),Jhongsing Village Community Center(Nanzih),,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8533,"8533",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8533,"8533",紅53梓官幹線-副,Red53B,臺鐵新左營站－蚵仔寮漁港,,0,,,,,11,紅53梓官幹線-副,Red53B,台鐵新左營站,TRA New Zuoying Station,蚵仔寮漁港,Kezailiao Fishing Port,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8533,"8533",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8533,"8533",紅53梓官幹線-副,Red53B,臺鐵新左營站－蚵仔寮漁港,,1,,,,,11,紅53梓官幹線-副,Red53B,台鐵新左營站,TRA New Zuoying Station,蚵仔寮漁港,Kezailiao Fishing Port,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH856,"856",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH856,"856",紅56A,Red56A,捷運楠梓加工區－高雄大學,,0,,,,,11,紅56A,Red56A,捷運楠梓加工區,MRT Nanzih Export Processing Zone,高雄大學,National University of Kaohsiung,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH856,"856",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH856,"856",紅56A,Red56A,捷運楠梓加工區－高雄大學,,1,,,,,11,紅56A,Red56A,捷運楠梓加工區,MRT Nanzih Export Processing Zone,高雄大學,National University of Kaohsiung,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8561,"8561",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8561,"8561",紅56B(延駛德民黃昏市場),Red56B(Extend Deming Dusk Market),捷運楠梓加工區－高雄大學,,0,,,,,11,紅56B(延駛德民黃昏市場),Red56B(Extend Deming Dusk Market),捷運楠梓加工區,MRT Nanzih Export Processing Zone,高雄大學,National University of Kaohsiung,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8561,"8561",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8561,"8561",紅56B(延駛德民黃昏市場),Red56B(Extend Deming Dusk Market),捷運楠梓加工區－高雄大學,,1,,,,,11,紅56B(延駛德民黃昏市場),Red56B(Extend Deming Dusk Market),捷運楠梓加工區,MRT Nanzih Export Processing Zone,高雄大學,National University of Kaohsiung,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
