id,SectionID,ArterialID,TimestampCol,DatetimeCol,TravelTime
16502965,036-060-035-060,S03,1630882800,"2021-09-06 07:00:00",49
16502966,041-060-040-060,S03,1630882800,"2021-09-06 07:00:00",13
16502967,042-060-041-060,S03,1630882800,"2021-09-06 07:00:00",10
16502968,039-060-038-060,S03,1630882800,"2021-09-06 07:00:00",30
16502969,037-060-036-060,S03,1630882800,"2021-09-06 07:00:00",36
16502970,033-060-791-060,S03,1630882800,"2021-09-06 07:00:00",43
16502971,040-060-039-060,S03,1630882800,"2021-09-06 07:00:00",13
16502972,038-060-037-060,S03,1630882800,"2021-09-06 07:00:00",60
16502973,791-020-033-020,S03,1630882800,"2021-09-06 07:00:00",24
16502974,791-060-032-060,S03,1630882800,"2021-09-06 07:00:00",15
16502975,032-020-791-020,S03,1630882800,"2021-09-06 07:00:00",20
