TicketType,TrainType,StationNo,StationName,TransactionDate,Enter,Exit
一般,捷運,R15,生態園區站,20210622 08:00:00,45,10
一般,捷運,R15,生態園區站,20210622 08:15:00,40,15
一般,捷運,R15,生態園區站,20210622 08:30:00,25,14
一般,捷運,R15,生態園區站,20210622 08:45:00,10,6
一般,捷運,R15,生態園區站,20210622 09:00:00,9,10
一般,捷運,R15,生態園區站,20210622 09:15:00,7,9
一般,捷運,R15,生態園區站,20210622 09:30:00,11,7
一般,捷運,R15,生態園區站,20210622 09:45:00,4,9
一般,捷運,R15,生態園區站,20210622 10:00:00,6,5
一般,捷運,R15,生態園區站,20210622 10:15:00,5,5
一般,捷運,R15,生態園區站,20210622 10:30:00,11,2
一般,捷運,R15,生態園區站,20210622 10:45:00,10,5
一般,捷運,R15,生態園區站,20210622 11:00:00,7,7
一般,捷運,R15,生態園區站,20210622 11:15:00,8,4
一般,捷運,R15,生態園區站,20210622 11:30:00,3,3
一般,捷運,R15,生態園區站,20210622 11:45:00,11,6
一般,捷運,R15,生態園區站,20210622 12:00:00,4,8
一般,捷運,R15,生態園區站,20210622 12:15:00,7,7
一般,捷運,R15,生態園區站,20210622 12:30:00,8,8
一般,捷運,R15,生態園區站,20210622 12:45:00,9,9
一般,捷運,R15,生態園區站,20210622 13:00:00,4,3
一般,捷運,R15,生態園區站,20210622 13:15:00,9,10
一般,捷運,R15,生態園區站,20210622 13:30:00,13,6
一般,捷運,R15,生態園區站,20210622 13:45:00,6,15
一般,捷運,R15,生態園區站,20210622 14:00:00,5,0
一般,捷運,R15,生態園區站,20210622 14:15:00,3,5
一般,捷運,R15,生態園區站,20210622 14:30:00,5,5
一般,捷運,R15,生態園區站,20210622 14:45:00,7,13
一般,捷運,R15,生態園區站,20210622 15:00:00,9,6
一般,捷運,R15,生態園區站,20210622 15:15:00,6,7
一般,捷運,R15,生態園區站,20210622 15:30:00,11,4
一般,捷運,R15,生態園區站,20210622 15:45:00,5,7
一般,捷運,R15,生態園區站,20210622 16:00:00,8,8
一般,捷運,R15,生態園區站,20210622 16:15:00,13,15
一般,捷運,R15,生態園區站,20210622 16:30:00,12,16
一般,捷運,R15,生態園區站,20210622 16:45:00,11,9
一般,捷運,R15,生態園區站,20210622 17:00:00,4,21
一般,捷運,R15,生態園區站,20210622 17:15:00,17,41
一般,捷運,R15,生態園區站,20210622 17:30:00,18,35
一般,捷運,R15,生態園區站,20210622 17:45:00,19,29
一般,捷運,R15,生態園區站,20210622 18:00:00,12,76
一般,捷運,R15,生態園區站,20210622 18:15:00,20,62
一般,捷運,R15,生態園區站,20210622 18:30:00,11,44
一般,捷運,R15,生態園區站,20210622 18:45:00,12,30
一般,捷運,R15,生態園區站,20210622 19:00:00,7,24
一般,捷運,R15,生態園區站,20210622 19:15:00,13,24
一般,捷運,R15,生態園區站,20210622 19:30:00,4,11
一般,捷運,R15,生態園區站,20210622 19:45:00,4,13
一般,捷運,R15,生態園區站,20210622 20:00:00,6,7
一般,捷運,R15,生態園區站,20210622 20:15:00,6,30
一般,捷運,R15,生態園區站,20210622 20:30:00,2,5
一般,捷運,R15,生態園區站,20210622 20:45:00,2,13
一般,捷運,R15,生態園區站,20210622 21:00:00,3,4
一般,捷運,R15,生態園區站,20210622 21:15:00,2,11
一般,捷運,R15,生態園區站,20210622 21:30:00,5,5
一般,捷運,R15,生態園區站,20210622 21:45:00,3,4
一般,捷運,R15,生態園區站,20210622 22:00:00,3,4
一般,捷運,R15,生態園區站,20210622 22:15:00,2,8
一般,捷運,R15,生態園區站,20210622 22:30:00,0,1
一般,捷運,R15,生態園區站,20210622 22:45:00,1,3
一般,捷運,R15,生態園區站,20210622 23:00:00,1,1
一般,捷運,R15,生態園區站,20210622 23:30:00,0,2
一般,捷運,R14,巨蛋站,20210622 05:30:00,1,0
一般,捷運,R14,巨蛋站,20210622 05:45:00,16,0
一般,捷運,R14,巨蛋站,20210622 06:00:00,20,2
一般,捷運,R14,巨蛋站,20210622 06:15:00,32,11
一般,捷運,R14,巨蛋站,20210622 06:30:00,43,7
一般,捷運,R14,巨蛋站,20210622 06:45:00,46,7
一般,捷運,R14,巨蛋站,20210622 07:00:00,59,15
一般,捷運,R14,巨蛋站,20210622 07:15:00,73,13
一般,捷運,R14,巨蛋站,20210622 07:30:00,78,35
一般,捷運,R14,巨蛋站,20210622 07:45:00,70,51
一般,捷運,R14,巨蛋站,20210622 08:00:00,57,52
一般,捷運,R14,巨蛋站,20210622 08:15:00,41,56
一般,捷運,R14,巨蛋站,20210622 08:30:00,31,43
一般,捷運,R14,巨蛋站,20210622 08:45:00,16,36
一般,捷運,R14,巨蛋站,20210622 09:00:00,16,15
一般,捷運,R14,巨蛋站,20210622 09:15:00,14,29
一般,捷運,R14,巨蛋站,20210622 09:30:00,11,20
一般,捷運,R14,巨蛋站,20210622 09:45:00,11,12
一般,捷運,R14,巨蛋站,20210622 10:00:00,11,17
一般,捷運,R14,巨蛋站,20210622 10:15:00,19,25
